Clc1ccc(/C=C/c2nc3ccccc3s2)cc1,CO,1.079181246
CN(C)c1ccc(/C=C(\C#N)c2nc3ccccc3s2)cc1,CO,1.113943352
N=C(N)N,O,1.176091259
CC(C)=O,CCCCCC,1.176091259
N#C/C(=C\c1ccc(Cl)cc1)c1nc2ccccc2s1,CO,1.204119983
Cc1ccc(/C=C(\C#N)c2nc3ccccc3s2)cc1,CO,1.204119983
C/N=N/C,CCO,1.204119983
C/C(=C\c1ccc(C)cc1)c1nc2ccccc2o1,CO,1.209515015
N#C/C(=C\c1ccccc1)c1nc2ccccc2s1,CO,1.278753601
N#C/C(=C\c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2s1,CO,1.298853076
COc1ccc(/C=C(\C)c2nc3ccccc3s2)cc1,CO,1.31386722
C/C(=C\c1ccc(C)cc1)c1nc2ccccc2s1,CO,1.318063335
COc1ccc(/C=C(\C#N)c2nc3ccccc3s2)cc1,CO,1.322219295
C(=C/c1nc2ccccc2o1)\c1ccccc1,CO,1.338456494
CN(C)c1ccc(/C=C/c2nc3ccccc3o2)cc1,CO,1.352182518
C/C(=C\c1ccc(Cl)cc1)c1nc2ccccc2s1,CO,1.359835482
C/C(=C\c1ccccc1)c1nc2ccccc2o1,CO,1.385606274
Cc1ccc(/C=C(\c2ccccc2)c2nc3ccccc3s2)cc1,CO,1.389166084
C(=C/c1nc2ccccc2s1)\c1ccccc1,CO,1.392696953
C/C(=C\c1ccc(Cl)cc1)c1nc2ccccc2o1,CO,1.409933123
COc1ccc(/C=C(\c2ccccc2)c2nc3ccccc3s2)cc1,CO,1.413299764
CC(C)(C)[N+](=O)[O-],CCO,1.431363764
Clc1ccc(/C=C(\c2ccccc2)c2nc3ccccc3s2)cc1,CO,1.434568904
Clc1ccc(/C=C(\c2ccccc2)c2nc3ccccc3o2)cc1,CO,1.487138375
COc1ccc(/C=C/c2nc3ccccc3s2)cc1,CO,1.492760389
Cc1ccc(/C=C(\c2ccccc2)c2nc3ccccc3o2)cc1,CO,1.495544338
Clc1ccc(/C=C/c2nc3ccccc3o2)cc1,CO,1.515873844
COc1ccc(/C=C(\C)c2nc3ccccc3o2)cc1,CO,1.540329475
COc1ccc(/C=C/c2nc3ccccc3o2)cc1,CO,1.572871602
CC(=O)OC[C@H]1O[C@@H]([C@@H]2C=C(Cl)C(=S)NC2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ClC(Cl)(Cl)Cl,1.579783597
CC(=O)Nc1ccc(S(=O)(=O)O)c(/N=N/c2c(O)c3ccccc3n(C)c2=O)c1,CS(C)=O,1.589614541
CC(=O)OC[C@H]1O[C@@H]([C@@H]2C=CC(=S)NC2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ClC(Cl)(Cl)Cl,1.602059991
CC(=O)OC[C@H]1O[C@@H]([C@@H]2C=C(Br)C(=S)NC2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ClC(Cl)(Cl)Cl,1.602059991
CC(=O)OC[C@H]1O[C@@H]([C@@H]2C=C(F)C(=S)NC2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ClC(Cl)(Cl)Cl,1.62324929
COc1ccc(/N=N/c2c(O)c3ccccc3n(C)c2=O)c(S(=O)(=O)O)c1,O,1.624694531
CC(=O)Nc1ccc(S(=O)(=O)O)c(/N=N/c2c(O)c3ccccc3n(C)c2=O)c1,Cc1ccccc1,1.625106575
Cc1ccc(/C=C/c2nc3ccccc3s2)cc1,CO,1.625312451
COc1ccc(/N=N/c2c(O)c3ccccc3n(C)c2=O)c(S(=O)(=O)O)c1,CCOC(C)=O,1.626545659
COc1ccc(/N=N/c2c(O)c3ccccc3n(C)c2=O)c(S(=O)(=O)O)c1,CO,1.626545659
COc1ccc(/N=N/c2c(O)c3ccccc3n(C)c2=O)c(S(=O)(=O)O)c1,CS(C)=O,1.630936119
COc1ccc(/N=N/c2c(O)c3ccccc3n(C)c2=O)c(S(=O)(=O)O)c1,ClCCl,1.634174872
CC(=O)Nc1ccc(S(=O)(=O)O)c(/N=N/c2c(O)c3ccccc3n(C)c2=O)c1,O,1.635785236
COc1ccc(/N=N/c2c(O)c3ccccc3n(C)c2=O)c(S(=O)(=O)O)c1,C1CCOC1,1.637789829
CC(=O)Nc1ccc(S(=O)(=O)O)c(/N=N/c2c(O)c3ccccc3n(C)c2=O)c1,ClCCl,1.639486489
COc1ccc(/N=N/c2c(O)c3ccccc3n(C)c2=O)c(S(=O)(=O)O)c1,CC(C)=O,1.64246452
COc1ccc(/N=N/c2c(O)c3ccccc3n(C)c2=O)c(S(=O)(=O)O)c1,Cc1ccccc1,1.653405491
CC(=O)Nc1ccc(S(=O)(=O)O)c(/N=N/c2c(O)c3ccccc3n(C)c2=O)c1,C1CCOC1,1.653694795
CC(=O)Nc1ccc(S(=O)(=O)O)c(/N=N/c2c(O)c3ccccc3n(C)c2=O)c1,CO,1.663700925
CC(=O)Nc1ccc(S(=O)(=O)O)c(/N=N/c2c(O)c3ccccc3n(C)c2=O)c1,CCOC(C)=O,1.664641976
CC(=O)Nc1ccc(S(=O)(=O)O)c(/N=N/c2c(O)c3ccccc3n(C)c2=O)c1,CC(C)=O,1.668479103
CC(=O)OC[C@H]1O[C@@H]([C@@H]2C=C(I)C(=S)NC2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ClC(Cl)(Cl)Cl,1.716003344
CC(N)=O,O,1.799340549
